,Site_Id,Date,Hour,HourDescription,Value,AirQualityCategory,DeterminingPollutant,Parameter.ParameterCode,Parameter.ParameterDescription,Parameter.Units,Parameter.UnitsDescription,Parameter.Category,Parameter.SubCategory,Parameter.Frequency
76,287,2022-02-02,1,12 am - 1 am,32.574,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
77,300,2022-02-02,1,12 am - 1 am,0.312437,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
78,300,2022-02-02,1,12 am - 1 am,0.855,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
79,300,2022-02-02,1,12 am - 1 am,1.085728,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
80,300,2022-02-02,1,12 am - 1 am,2.156969,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
81,300,2022-02-02,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
82,300,2022-02-02,1,12 am - 1 am,39.21,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
83,33,2022-02-03,1,12 am - 1 am,0.214,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
84,33,2022-02-03,1,12 am - 1 am,0.70954,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
85,33,2022-02-03,1,12 am - 1 am,1.730575,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
86,33,2022-02-03,1,12 am - 1 am,2.015175,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
87,33,2022-02-03,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
88,33,2022-02-03,1,12 am - 1 am,28.183,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
89,39,2022-02-03,1,12 am - 1 am,0.13565,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
90,39,2022-02-03,1,12 am - 1 am,0.140785,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
91,39,2022-02-03,1,12 am - 1 am,0.225,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
92,39,2022-02-03,1,12 am - 1 am,0.322929,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
93,39,2022-02-03,1,12 am - 1 am,1.778875,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
94,39,2022-02-03,1,12 am - 1 am,1.798575,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
95,39,2022-02-03,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
96,39,2022-02-03,1,12 am - 1 am,24.499,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
97,107,2022-02-03,1,12 am - 1 am,-0.23963,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
98,107,2022-02-03,1,12 am - 1 am,-0.164169,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
99,107,2022-02-03,1,12 am - 1 am,0.182,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
100,107,2022-02-03,1,12 am - 1 am,0.879074,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
101,107,2022-02-03,1,12 am - 1 am,2.1882,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
102,107,2022-02-03,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
103,107,2022-02-03,1,12 am - 1 am,26.365,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
104,259,2022-02-03,1,12 am - 1 am,-0.05057,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
105,259,2022-02-03,1,12 am - 1 am,0.012609,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
106,259,2022-02-03,1,12 am - 1 am,0.204,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
107,259,2022-02-03,1,12 am - 1 am,0.238,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
108,259,2022-02-03,1,12 am - 1 am,0.425071,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
109,259,2022-02-03,1,12 am - 1 am,2.339541,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
110,259,2022-02-03,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
111,259,2022-02-03,1,12 am - 1 am,23.481,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
112,287,2022-02-03,1,12 am - 1 am,,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
113,287,2022-02-03,1,12 am - 1 am,0.243,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
114,287,2022-02-03,1,12 am - 1 am,0.715757,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
115,287,2022-02-03,1,12 am - 1 am,2.046804,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
116,287,2022-02-03,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
117,287,2022-02-03,1,12 am - 1 am,23.035,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
118,300,2022-02-03,1,12 am - 1 am,0.199634,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
119,300,2022-02-03,1,12 am - 1 am,0.210008,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
120,300,2022-02-03,1,12 am - 1 am,0.382,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
121,300,2022-02-03,1,12 am - 1 am,0.702205,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
122,300,2022-02-03,1,12 am - 1 am,1.941868,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
